Title,Author,Genre,Sub-Genre,Date Published,Year Published,Meeting Date,Host,Location,ISBN,Goodreads URL
A Gentleman in Moscow,Amor Towles,Fiction,Historical Fiction,9/6/2016,2016,8/15/2018,Carrie & Christine,Carrie's house,9780670026197,https://www.goodreads.com/book/isbn/9780670026197
An American Marriage,Tayari Jones,Fiction,Domestic Fiction,1/29/2018,2018,9/19/2018,Megan,Megan's house,9781616208684,https://www.goodreads.com/book/isbn/9781616208684
Ordinary Grace,WIlliam Kent Krueger,Fiction,Mystery,3/26/2013,2013,10/17/2018,Christine,Three River's Distillery,9781451645828,https://www.goodreads.com/book/isbn/9781451645828
The Tattooist of Auschwitz,Heather Morris,Fiction,Historical Fiction,1/11/2018,2018,11/21/2018,Laura,Laura's house,9780062877000,https://www.goodreads.com/book/isbn/9780062877000
The Witch Elm,Tana French,Fiction,Mystery,10/9/2018,2018,1/16/2019,Tessa,Ted's,9781984882684,https://www.goodreads.com/book/isbn/9781984882684
Educated: A Memoir,Tara Westover,Nonfiction,Biography,2/18/2018,2018,2/20/2019,Linzi,Black Canyon,9780399590504,https://www.goodreads.com/book/isbn/9780399590504
"There, there",Tommy Orange,Fiction,Political Fiction,6/5/2018,2018,3/20/2019,Janet Casperson,Casa's,9780525436140,https://www.goodreads.com/book/isbn/9780525436140
Midwives,Chris Bohjalian,Fiction,Contemporary Fiction,4/1/1997,1997,4/17/2019,Shelly,Shelly's house,9780375706776,https://www.goodreads.com/book/isbn/9780375706776
The Lost Girls of Paris,Pam Jenoff,Fiction,Historical Fiction,1/29/2019,2019,5/15/2019,Sarah & Megan,Rack & Helen's,9780778330271,https://www.goodreads.com/book/isbn/9780778330271
Pachinko,Min Jin Lee,Fiction,Historical Fiction,2/7/2017,2017,8/21/2019,Carrie & Christine,Carrie's house,9781455563937,https://www.goodreads.com/book/isbn/9781455563937
City of Girls,Elizabeth Gilbert,Fiction,Romance,6/4/2019,2019,9/18/2019,Tessa,Bird & Cleaver,9781594634734,https://www.goodreads.com/book/isbn/9781594634734
The Doll Factory,Elizabeth MacNeal,Fiction,Historical Fiction,4/23/2019,2019,10/16/2019,Joan,Casa's,9781529002393,https://www.goodreads.com/book/isbn/9781529002393
Next Year in Havana,Chanel Cleeton,Fiction,Romance,2/6/2018,2018,11/20/2019,Laura,Laura's house,9780399586682,https://www.goodreads.com/book/isbn/9780399586682
Before We Were Yours,Lisa Wingate,Fiction,Historical Fiction,6/6/2017,2017,1/15/2020,Katie Lancia & Kim Reimschisel,Katie's house,9780425284681,https://www.goodreads.com/book/isbn/9780425284681
The Silent Patient,Alex Michaelides,Fiction,Psychological Fiction,2/5/2019,2019,2/19/2020,Linzi,Three Rivers Distilling Co.,9781250301697,https://www.goodreads.com/book/isbn/9781250301697
The Water Dancer,Ta-Nehisi Coates,Fiction,Historical Fiction,9/24/2019,2019,4/22/2020,Janet,Zoom,9780399590610,https://www.goodreads.com/book/isbn/9780399590610
The Confession Club,Elizabeth Berg,Fiction,Psychological Fiction,11/19/2019,2019,5/20/2020,Tesa,Tesa's house,9781984855176,https://www.goodreads.com/book/isbn/9781984855176
The Vanishing Act of Esme Lennox,Maggie O'Farrell,Fiction,Historical Fiction,2/26/2013,2013,6/17/2020,Chris Ley,Chris Ley's house,9780151014118,https://www.goodreads.com/book/isbn/9780151014118
Small Great Things,Jodi Picoult,Fiction,Literary Fiction,10/11/2016,2016,7/15/2020,Megan,Megan's house,9780345544957,https://www.goodreads.com/book/isbn/9780345544957
The Wind-Up Bird Chronicle,Haruki Murakami,Fiction,Psychological Fiction,1/1/1994,199,8/19/2020,Carrie & Christine,Carrie's house,9780679775430,https://www.goodreads.com/book/isbn/9780679775430
Carnegie's Maid,Marie Benedict,Fiction,Historical Fiction,1/16/2018,2018,9/16/2020,Shelly,Shelly's house,9781492662709,https://www.goodreads.com/book/isbn/9781492662709
Monogamy,Sue Miller,Fiction,Domestic Fiction,9/8/2020,2020,10/21/2020,Sarah L,Sarah's house,9780062969668,https://www.goodreads.com/book/isbn/9780062969668
Between Sisters,Kristin Hannah,Fiction,Romance,4/1/2003,2003,11/18/2020,Laura,Zoom,9780345450746,https://www.goodreads.com/book/isbn/9780345450746
In Five Years,Rebecca Serle,Fiction,Romance,3/10/2020,2020,1/20/2021,Sarah R,Zoom,9781982137441,https://www.goodreads.com/book/isbn/9781982137441
The Lies We Hide,S.E. Lynes,Fiction,Psychological Fiction,12/4/2019,2019,2/17/2021,Tessa,Zoom,50014874,https://www.goodreads.com/book/isbn/9781838881870
A Swift Pure Cry,Siobhan Dowd,Fiction,Historical Fiction,9/9/2008,2008,3/17/2021,Laura,Ziano's,9780440422181,https://www.goodreads.com/book/isbn/9780440422181
The Lost Apothecary,Sarah Penner,Fiction,Historical Fiction,3/2/2021,2021,9/15/2021,Shelly,Shelly's house,9780778311010,https://www.goodreads.com/book/isbn/9780778311010
Whistling Past the Graveyard,Susan Crandall,Fiction,Historical Fiction,6/1/2013,2013,10/20/2021,Sarah L,Sarah's house,9781476707723,https://www.goodreads.com/book/isbn/9781476707723
Eleni,Nicholas Gage,Historical Biography,Historical Memoir,1/1/1983,1983,11/17/2021,Laura,Laura's house,9780345410436,https://www.goodreads.com/book/isbn/9780345410436
The River,Peter Heller,Fiction,Thriller,3/5/2019,2019,1/19/2022,Linzi,Linzi's house,9780525521877,https://www.goodreads.com/book/isbn/9780525521877
The Lincoln Highway,Amor Towles,Fiction,Historical Fiction,10/5/2021,2021,2/16/2022,Sarah R & Megan,Hop River Brewing Company,9780735222359,https://www.goodreads.com/book/isbn/9780735222359
"If You Tell: A True Store of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",Gregg Olsen,Nonfiction,True Crime,12/1/2019,2019,3/16/2022,Tesa,JK O'Donnell's,1542005221,https://www.goodreads.com/book/isbn/1542005221
Peach Blossom Spring,Melissa Fu,Fiction,Historical Fiction,3/15/2022,2022,4/20/2022,Kelly & Christine,Three Rivers Distilling Co.,9780316286732,https://www.goodreads.com/book/isbn/9780316286732
Eternal,Lisa Scottoline,Fiction,Historical Fiction,3/23/2021,2021,5/18/2022,All - Carrie,Birdies,9780593395660,https://www.goodreads.com/book/isbn/9780593395660
The Overnight Guest,Heather Gudenkauf,Fiction,Thriller,1/25/2022,2022,6/15/2022,Janelle,Janelle's house,9780778333166,https://www.goodreads.com/book/isbn/9780778333166
The Wife Between Us,Greer Hendricks,Fiction,Mystery,1/9/2018,2018,7/20/2022,Carrie & Christine,Carrie's house,9781250185129,https://www.goodreads.com/book/isbn/9781250185129
Interpreter of Maladies,Jhumpa Lahiri,Fiction,Literary Fiction,4/20/1999,1999,8/17/2022,Kim,Trolley Bar,9780395927205,https://www.goodreads.com/book/isbn/9780395927205
The Scandalous Hamiltons,Bill Shaffer,Nonfiction,True Crime,7/26/2022,2022,9/21/2022,Shelly,Shelly's house,9780806542256,https://www.goodreads.com/book/isbn/9780806542256
Fairy Tale,Stephen King,Fiction,Fantasy,9/6/2022,2022,10/19/2022,Sarah L,Sarah's house,9781668002179,https://www.goodreads.com/book/isbn/9781668002179
The Dictionary of Lost Words,Pip Williams,Fiction,Historical Fiction,3/31/2020,2020,11/16/2022,Laura,Laura's house,9780593160190,https://www.goodreads.com/book/isbn/9780593160190
Local Woman Missing,Mary Kubica,Fiction,Thriller,5/18/2021,2021,1/18/2023,Sarah R & Megan,Ziano's,9780778389446,https://www.goodreads.com/book/isbn/9780778389446
The Marriage Portrait,Maggie O'Farrell,Fiction,Historical Fiction,9/6/2022,2022,2/15/2023,Christine,Christine's House,9780593320624,https://www.goodreads.com/book/isbn/9780593320624
The Christie Affair,Nina de Gramont,Fiction,Historical Fiction,2/1/2022,2022,3/15/2023,Janet & Chris Ley,Lucky Turtle,9781250274618,https://www.goodreads.com/book/isbn/9781250274618
The Housemaid,Freida McFadden,Fiction,Psychological Fiction,4/26/2022,2022,4/18/2023,Tesa,Tesa's house,9781408728512,https://www.goodreads.com/book/isbn/9781408728512
A Thousand Ships,Natalie Haynes,Fiction,Mythology,1/26/2021,2021,5/17/2023,Kelly,Three Rivers Distilling Co.,9780063065406,https://www.goodreads.com/book/isbn/9780063065406
Searching for Sylvie Lee,Jean Kwok,Fiction,Mystery,6/4/2019,2019,6/21/2023,Shelly,Shelly's house,9780062834324,https://www.goodreads.com/book/isbn/9780062834324
Perfume: The Story of a Murderer,"Patrick Süskind, John E. Woods (Translator)",Fiction,Historical Fiction,1/1/1985,1985,7/19/2023,Kim,Trolley Bar,9780375725845,https://www.goodreads.com/book/isbn/9780375725845
The Surgeon,Leslie Wolfe,Fiction,Thriller,3/8/2023,2023,8/16/2023,Janelle,Mercado,9781538767375,https://www.goodreads.com/book/isbn/9781538767375
True Biz,Sara Novic,Fiction,Domestic Fiction,4/5/2022,2022,9/20/2023,Linzi,Linzi's house,9780593241509,https://www.goodreads.com/book/isbn/9780593241509
How to Be Eaten: A Novel,Maria Adelmann,Fiction,Psychological Fiction,5/31/2022,2022,10/18/2023,Sarah L,Sarah's house,9780316450843,https://www.goodreads.com/book/isbn/9780316450843
Amazing Grace Adams,Fran Littlewood,Fiction,Contemporary Fiction,1/19/2023,2023,11/15/2023,Laura,Laura's house,9781250857002,https://www.goodreads.com/book/isbn/9781250857002
Jane Eyre,Charlotte Bronte,Fiction,Classic,10/19/1847,1847,1/17/2024,Carrie,Carrie's house,9780141441146,https://www.goodreads.com/book/isbn/9780141441146
Wellness,Nathan Hill,Fiction,Literary Fiction,9/26/2023,2023,2/21/2024,Anna Christine,Christine's House,9780593536117,https://www.goodreads.com/book/isbn/9780593536117
The Guncle,Steven Rowley,Fiction,Contemporary Fiction,5/25/2021,2021,3/13/2024,Sarah L,Sarah's house,9780525542285,https://www.goodreads.com/book/isbn/9780525542285
The Heaven and Earth Grocery Store,James McBride,Fiction,Historical Fiction,8/8/2023,2023,4/17/2024,Janet,Chris Ley's house,9780593422946,https://www.goodreads.com/book/isbn/9780593422946
Yellowface,R.F. Kuang,Fiction,Contemporary Fiction,5/16/2023,2023,5/15/2024,Carrie,Carrie's house,9780063250833,https://www.goodreads.com/book/isbn/9780063250833
