Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Exclusive Shelf,Read Count,Genre,Author Gender,Author Nationality,Author Age When Written
176443312,Fruit of the Dead,Rachel  Lyon,"Lyon, Rachel",,1668020858,9781668020852,0,3.49,Scribner,Hardcover,320,2024,2024,4/22/2025,4/18/2025,read,1,,,,
40830203,The Lost Flowers of Alice Hart,Holly Ringland,"Ringland, Holly",,1487005245,9781487005245,4,4.09,House of Anansi Press,Kindle Edition,393,2018,2018,4/17/2025,4/5/2025,read,1,,,,
58672976,Notes on Your Sudden Disappearance,Alison Espach,"Espach, Alison",,1250823145,9781250823144,3,3.81,Henry Holt and Co.,Hardcover,352,2022,2022,4/13/2025,4/7/2025,read,1,,,,
43834909,Long Bright River,Liz    Moore,"Moore, Liz",,0525540679,9780525540670,0,4.05,Riverhead Books,Hardcover,482,2020,2020,4/6/2025,3/19/2025,read,1,,,,
41104077,Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,"Pérez, Caroline Criado",,1419729071,9781419729072,3,4.34,Abrams Press,Hardcover,448,2019,2019,3/29/2025,4/14/2024,read,1,,,,
18527222,Grandma Gatewood's Walk: The Inspiring Story of the Woman Who Saved the Appalachian Trail,Ben Montgomery,"Montgomery, Ben",,1613747187,9781613747186,4,4.1,Chicago Review Press,Hardcover,288,2014,2014,3/26/2025,11/13/2024,read,1,,,,
42203363,The Lager Queen of Minnesota,J. Ryan Stradal,"Stradal, J. Ryan",,0399563059,9780399563058,4,4.01,Pamela Dorman Books,Hardcover,349,2019,2019,2/25/2025,2/19/2025,read,1,,,,
58735031,"Shady Hollow (Shady Hollow, #1)",Juneau Black,"Black, Juneau",,0593315715,9780593315712,3,3.77,Vintage,Paperback,222,2022,2015,3/23/2025,9/24/2024,read,1,,,,
61718053,Happy Place,Emily Henry,"Henry, Emily",,0593441273,9780593441275,4,3.96,Berkley,Hardcover,400,2023,2023,3/23/2025,3/21/2025,read,1,,,,
59314703,Thank You for Listening,Julia  Whelan,"Whelan, Julia",,0063095564,9780063095564,4,4,Avon,Paperback,432,2022,2022,3/20/2025,3/20/2024,read,1,,,,
55825273,The Comfort Book,Matt Haig,"Haig, Matt",,0143136666,9780143136668,4,4.06,Penguin Life,Hardcover,272,2021,2021,3/15/2025,11/4/2024,read,1,,,,
198902277,The Wedding People,Alison Espach,"Espach, Alison",,,,4,4.13,Henry Holt and Co.,Hardcover,384,2024,2024,3/14/2025,5/28/2024,read,1,,,,
25489012,The Road to Little Dribbling: Adventures of an American in Britain,Bill Bryson,"Bryson, Bill",,0385539282,9780385539289,2,3.72,Doubleday,Hardcover,380,2016,2015,3/8/2025,3/4/2025,read,1,,,,
91582,Lady Susan,Jane Austen,"Austen, Jane",R.W. Chapman,0486444074,9780486444079,3,3.66,Dover Publications,Paperback,180,2005,1871,3/2/2025,5/26/2019,read,1,,,,
52578297,The Midnight Library,Matt Haig,"Haig, Matt",,0525559477,9780525559474,5,3.98,Viking,Hardcover,288,2020,2020,3/1/2025,4/2/2023,read,1,,,,
208840291,The Serviceberry: Abundance and Reciprocity in the Natural World,Robin Wall Kimmerer,"Kimmerer, Robin Wall",John Burgoyne,1668072246,9781668072240,4,4.38,Scribner,Hardcover,112,2024,2024,2/19/2025,1/25/2025,read,1,,,,
123087784,The Comfort of Crows: A Backyard Year,Margaret Renkl,"Renkl, Margaret",Billy Renkl,1954118465,9781954118461,4,4.17,Spiegel & Grau,Hardcover,270,2023,2023,2/18/2025,2/16/2025,read,1,,,,
53138081,The Four Winds,Kristin Hannah,"Hannah, Kristin",,1250178606,9781250178602,5,4.3,St. Martin's Press,Hardcover,464,2021,2021,2/16/2025,3/12/2022,read,1,,,,
60784411,The Spite House,Johnny Compton,"Compton, Johnny",,1250841410,9781250841414,2,3.52,Tor Nightfire,Hardcover,261,2023,2023,2/10/2025,2/5/2025,read,1,,,,
216223604,The Crash,Freida McFadden,"McFadden, Freida",,1464232989,9781464232985,4,3.73,Poisoned Pen Press,Hardcover,384,2025,2025,2/5/2025,1/31/2025,read,1,,,,
14942,Mrs. Dalloway,Virginia Woolf,"Woolf, Virginia",Maureen Howard,0151009988,9780151009985,3,3.79,Houghton Mifflin Harcourt,Hardcover,194,2002,1925,12/11/2024,10/29/2024,read,1,,,,
60784308,The Crane Husband,Kelly Barnhill,"Barnhill, Kelly",,1250850975,9781250850973,3,3.87,Tordotcom,Hardcover,118,2023,2023,2/2/2025,4/25/2024,read,1,,,,
194020321,Home Is Where the Bodies Are,Jeneva Rose,"Rose, Jeneva",,,9798212182843,3,3.81,"Blackstone Publishing, Inc.",Hardcover,256,2024,2024,1/31/2025,4/25/2024,read,1,,,,
27071490,Homegoing,Yaa Gyasi,"Gyasi, Yaa",,,,4,4.47,Alfred A. Knopf,Hardcover,305,2016,2016,1/27/2025,1/19/2025,read,1,,,,
173754979,James,Percival Everett,"Everett, Percival",,,,4,4.49,Knopf Doubleday,Hardcover,303,2024,2024,1/7/2025,6/20/2024,read,1,,,,
25813942,This Tender Land,William Kent Krueger,"Krueger, William Kent",,1476749299,9781476749297,4,4.39,Atria Books,Hardcover,450,2019,2019,1/22/2025,11/24/2022,read,1,,,,
214437988,The Shawshank Redemption,Stephen        King,"King, Stephen",,1668084988,9781668084984,3,4.49,Scribner,Paperback,128,2024,1982,1/2/2025,1/12/2025,read,1,,,,
59030015,The Change,Kirsten Miller,"Miller, Kirsten",,0063144042,9780063144040,4,4.09,William Morrow,Hardcover,470,2022,2022,1/19/2025,5/27/2024,read,1,,,,
123036004,The Berry Pickers,Amanda    Peters,"Peters, Amanda",,1646221958,9781646221950,5,4.11,Catapult,Hardcover,307,2023,2023,1/14/2025,6/20/2024,read,1,,,,
216476388,The Widow's Husband's Secret Lie,Freida McFadden,"McFadden, Freida",,,,4,3.35,Hollywood Upstairs Press,Kindle Edition,152,2024,2024,1/11/2025,1/8/2025,read,1,,,,
37442,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,"Maguire, Gregory",Douglas Smith,0060987103,9780060987107,2,3.52,ReganBooks,Paperback,406,2000,1995,1/11/2025,1/2/2025,read,1,,,,
58690308,Book Lovers,Emily Henry,"Henry, Emily",,0593334833,9780593334836,4,4.11,Berkley,Paperback,377,2022,2022,12/30/2024,6/19/2023,read,1,,,,
61918816,"Yours Truly (Part of Your World, #2)",Abby Jimenez,"Jimenez, Abby",,1538704390,9781538704394,4,4.31,Forever,Paperback,416,2023,2023,12/26/2024,10/27/2024,read,1,,,,
54377375,"Life’s Too Short (The Friend Zone, #3)",Abby Jimenez,"Jimenez, Abby",,1538715686,9781538715680,5,4.16,Forever,ebook,384,2021,2021,12/20/2024,12/17/2024,read,1,,,,
50208350,"The Happy Ever After Playlist (The Friend Zone, #2)",Abby Jimenez,"Jimenez, Abby",,,9781538715635,4,4.18,Forever,ebook,401,2020,2020,12/17/2024,10/27/2024,read,1,,,,
203019740,All the Colors of the Dark,Chris  Whitaker,"Whitaker, Chris",,0593798872,9780593798874,5,4.29,Crown,Hardcover,608,2024,2024,11/5/2024,10/28/2024,read,1,,,,
198281740,The Life Impossible,Matt Haig,"Haig, Matt",,0593489276,9780593489277,4,3.49,Viking,Hardcover,324,2024,2024,12/4/2024,11/4/2024,read,1,,,,
204294871,A Dark and Secret Magic,Wallis Kinney,"Kinney, Wallis",,1639109897,9781639109890,4,3.91,Alcove Press,Hardcover,304,2024,2024,11/29/2024,11/26/2024,read,1,,,,
45032,Mansfield Park,Jane Austen,"Austen, Jane","Kathryn Sutherland, Charles Edmund Brock",,,0,3.86,Penguin Books,Paperback,488,2003,1814,,5/26/2019,read,1,,,,
208503280,The Boyfriend,Freida McFadden,"McFadden, Freida",,1728296226,9781728296227,4,4.03,Poisoned Pen Press,Paperback,368,2024,2024,11/26/2024,11/24/2024,read,1,,,,
17245,Dracula,Bram Stoker,"Stoker, Bram","Rubén Toledo, Nina Auerbach, David J. Skal",0393970124,9780393970128,2,4.02,Norton,Paperback,488,1986,1897,11/23/2024,11/9/2024,read,1,,,,
41945163,"The Friend Zone (The Friend Zone, #1)",Abby Jimenez,"Jimenez, Abby",,,9781538715628,4,3.9,Forever (Grand Central Publishing),Kindle Edition,372,2019,2019,8/2/2024,7/26/2024,read,1,,,,
200190296,The Twilight Garden,Sara Nisha Adams,"Adams, Sara Nisha",,0063025329,9780063025325,3,3.79,William Morrow,Hardcover,400,2024,2023,11/13/2024,10/27/2024,read,1,,,,
89724,We Have Always Lived in the Castle,Shirley Jackson,"Jackson, Shirley",Jonathan Lethem,0143039970,9780143039976,4,3.92,Penguin Books,Paperback,152,2006,1962,11/7/2024,10/19/2024,read,1,,,,
58684524,"Part of Your World (Part of Your World, #1)",Abby Jimenez,"Jimenez, Abby",,1538704374,9781538704370,4,4.27,Forever,Paperback,389,2022,2022,10/27/2024,10/25/2024,read,1,,,,
22353999,The Metamorphosis and Other Stories,Franz Kafka,"Kafka, Franz",Guy de Maupassant,,,4,3.89,,Kindle Edition,112,2009,1915,5/11/2020,5/11/2020,read,1,,,,
195474144,Table for Two,Amor Towles,"Towles, Amor",,0593296370,9780593296370,0,4.21,Viking,Hardcover,451,2024,2024,10/25/2024,10/17/2024,read,1,,,,
55122588,"Fearless World Traveler: Adventures of Marianne North, Botanical Artist",Laurie Lawlor,"Lawlor, Laurie",Becca Stadtlander,0823439593,9780823439591,0,4.08,Holiday House,Hardcover,48,2021,2021,5/1/2024,2/1/2024,read,1,,,,
200987258,Lula Dean's Little Library of Banned Books,Kirsten Miller,"Miller, Kirsten",,0063348691,9780063348691,2,4.09,William Morrow,Hardcover,298,2024,2024,9/14/2024,9/10/2024,read,1,,,,
33124137,Pet Sematary,Stephen        King,"King, Stephen",,,,4,4.08,Scribner,Kindle Edition,580,2014,1983,10/17/2024,8/19/2023,read,1,,,,
199698485,The God of the Woods,Liz    Moore,"Moore, Liz",,,,4,4.15,Riverhead Books,Kindle Edition,490,2024,2024,10/16/2024,9/18/2024,read,1,,,,
139391940,"The Pumpkin Spice Café (Dream Harbor, #1)",Laurie Gilmore,"Gilmore, Laurie",,0008610665,9780008610661,2,3.36,One More Chapter,Kindle Edition,373,2023,2023,9/29/2024,9/29/2024,read,1,,,,
64623481,The September House,Carissa Orlando,"Orlando, Carissa",,0593548612,9780593548615,5,3.89,Berkley,Hardcover,352,2023,2023,8/23/2024,6/20/2024,read,1,,,,
56179372,Slewfoot: A Tale of Bewitchery,Brom,"Brom, Brom",,125062200X,9781250622006,4,4.24,Tor Nightfire,Hardcover,305,2021,2021,10/8/2024,10/1/2024,read,1,,,,
112975658,The Frozen River,Ariel Lawhon,"Lawhon, Ariel",,0385546874,9780385546874,4,4.41,Doubleday,Hardcover,432,2023,2023,9/29/2024,9/22/2024,read,1,,,,
6514,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,0571268862,9780571268863,4,4.06,Harper Perennial Modern Classics,Paperback,294,2006,1963,9/23/2024,5/27/2024,read,1,,,,
62848145,"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,"McFadden, Freida",,1837901317,9781837901319,2,4.21,Bookouture,Kindle Edition,318,2023,2023,9/21/2024,3/21/2023,read,1,,,,
199743738,The Midnight Feast,Lucy Foley,"Foley, Lucy",,0063003104,9780063003101,3,3.58,William Morrow,Hardcover,354,2024,2024,9/21/2024,5/28/2024,read,1,,,,
43208407,I Who Have Never Known Men,Jacqueline Harpman,"Harpman, Jacqueline","Sophie Mackintosh, Ros Schwartz",152911179X,9781529111798,5,4.17,Vintage,Paperback,188,2019,1995,9/15/2024,7/29/2024,read,1,,,,
127306440,"What Feasts at Night (Sworn Soldier, #2)",T. Kingfisher,"Kingfisher, T.",,1250830850,9781250830852,3,3.81,Tor Nightfire,Hardcover,151,2024,2024,9/11/2024,8/1/2023,read,1,,,,
197511201,"The Guncle Abroad (The Guncle, #2)",Steven  Rowley,"Rowley, Steven",,0593540468,9780593540466,4,3.91,G.P. Putnam's Sons,Kindle Edition,320,2024,2024,9/8/2024,3/7/2024,read,1,,,,
195790847,A Sorceress Comes to Call,T. Kingfisher,"Kingfisher, T.",,1250244072,9781250244079,4,4.09,Tor Books,Hardcover,327,2024,2024,8/25/2024,5/28/2024,read,1,,,,
148516779,The Last List of Mabel Beaumont,Laura   Pearson,"Pearson, Laura",,1785136054,9781785136054,5,4.03,Boldwood Books,Kindle Edition,314,2023,2023,8/15/2024,4/14/2024,read,1,,,,
164444179,First Lie Wins,Ashley Elston,"Elston, Ashley",,,,4,4.01,Pamela Dorman Books,Hardcover,340,2024,2024,8/19/2024,7/20/2024,read,1,,,,
199797698,The Astrology House,Carinn Jade,"Jade, Carinn",,1668045966,9781668045961,2,3.5,Atria Books,Hardcover,307,2024,2024,8/10/2024,8/6/2024,read,1,,,,
36596442,Hello Girls,Brittany Cavallaro,"Cavallaro, Brittany",Emily Henry,,,4,3.41,Katherine Tegen Books,Hardcover,325,2019,2019,8/5/2024,8/4/2024,read,1,,,,
61827543,"Vera Wong's Unsolicited Advice for Murderers (Vera Wong, #1)",Jesse Q. Sutanto,"Sutanto, Jesse Q.",,0593549228,9780593549223,4,4.03,Berkley,Paperback,339,2023,2023,8/4/2024,7/19/2024,read,1,,,,
199798953,One Perfect Couple,Ruth Ware,"Ware, Ruth",,1668025590,9781668025598,3,3.64,Scout Press,Hardcover,385,2024,2024,7/29/2024,6/15/2024,read,1,,,,
55338982,Cultish: The Language of Fanaticism,Amanda Montell,"Montell, Amanda",,0062993151,9780062993151,3,3.83,Harper,Hardcover,309,2021,2021,7/26/2024,4/25/2024,read,1,,,,
195820807,"Just for the Summer (Part of Your World, #3)",Abby Jimenez,"Jimenez, Abby",,1538704439,9781538704431,5,4.37,Forever,Paperback,432,2024,2024,7/18/2024,7/13/2024,read,1,,,,
156480764,The Book of Doors,Gareth  Brown,"Brown, Gareth",,1787637247,9781787637245,4,4.04,Transworld Publ. Ltd UK,Kindle Edition,408,2024,2024,6/26/2024,6/19/2024,read,1,,,,
192724951,Indian Burial Ground,Nick Medina,"Medina, Nick",,0593546881,9780593546888,3,3.6,Berkley,Hardcover,370,2024,2024,5/30/2024,4/25/2024,read,1,,,,
140111148,She's Not Sorry,Mary Kubica,"Kubica, Mary",,0778308065,9780778308065,3,3.79,Park Row,Hardcover,330,2024,2024,7/12/2024,4/26/2024,read,1,,,,
60018635,The Very Secret Society of Irregular Witches,Sangu Mandanna,"Mandanna, Sangu",,059343935X,9780593439357,4,4.06,Berkley,Paperback,318,2022,2022,10/18/2022,10/17/2022,read,1,,,,
57795665,The Locked Door,Freida McFadden,"McFadden, Freida",,,,3,4,Hollywood Upstairs Press,Kindle Edition,313,2021,2021,7/5/2024,6/26/2024,read,1,,,,
128007059,The New Couple in 5B,Lisa Unger,"Unger, Lisa",,0778333345,9780778333340,3,3.62,Park Row,Hardcover,384,2024,2024,7/5/2024,6/26/2024,read,1,,,,
51152447,Caste: The Origins of Our Discontents,Isabel Wilkerson,"Wilkerson, Isabel",,0593230256,9780593230251,5,4.53,Random House,Hardcover,544,2020,2020,6/24/2024,6/4/2024,read,1,,,,
204345735,"Beaches, Bungalows & Burglaries (Camper & Criminals, #1)",Tonya Kappes,"Kappes, Tonya",,,,2,3.56,Tonya Kappes Books,Kindle Edition,,2023,2018,6/19/2024,6/18/2024,read,1,,,,
52867387,Beach Read,Emily Henry,"Henry, Emily",,1984806734,9781984806734,4,3.99,Berkley,Paperback,371,2020,2020,6/17/2024,6/15/2024,read,1,,,,
63922274,Go as a River,Shelley Read,"Read, Shelley",,1954118236,9781954118232,4,4.26,Spiegel & Grau,Hardcover,320,2023,2023,6/15/2024,5/23/2024,read,1,,,,
194802722,Funny Story,Emily Henry,"Henry, Emily",,,,4,4.21,Berkley,Kindle Edition,400,2024,2024,6/14/2024,4/25/2024,read,1,,,,
54985743,People We Meet on Vacation,Emily Henry,"Henry, Emily",,1984806750,9781984806758,5,3.85,Berkley,Paperback,400,2021,2021,6/4/2024,6/1/2024,read,1,,,,
60654349,Weyward,Emilia Hart,"Hart, Emilia",,125028080X,9781250280800,4,4.06,St. Martin's Press,Hardcover,329,2023,2023,6/1/2024,2/1/2024,read,1,,,,
62047984,Yellowface,R.F. Kuang,"Kuang, R.F.",,000853277X,9780008532772,5,3.74,William Morrow,Hardcover,319,2023,2023,4/29/2024,4/17/2024,read,1,,,,
60165403,Wild New World: The Epic Story of Animals and People in America,Dan Flores,"Flores, Dan",,1324006161,9781324006169,3,3.99,W. W. Norton & Company,Hardcover,448,2022,2022,5/24/2024,5/13/2024,read,1,,,,
176443819,The Haunting of Velkwood,Gwendolyn Kiste,"Kiste, Gwendolyn",,1982172371,9781982172374,4,3.6,S&S/Saga Press,Hardcover,246,2024,2024,5/16/2024,3/22/2024,read,1,,,,
63241104,Tom Lake,Ann Patchett,"Patchett, Ann",,006332752X,9780063327528,4,3.95,Harper,Hardcover,309,2023,2023,5/11/2024,12/7/2023,read,1,,,,
13537029,The Song of Achilles,Madeline Miller,"Miller, Madeline",,,,4,4.31,HarperCollins,Kindle Edition,351,2012,2011,5/6/2024,12/5/2021,read,1,,,,
65678550,The Heaven & Earth Grocery Store,James   McBride,"McBride, James",,0593422945,9780593422946,4,3.94,Riverhead Books,Hardcover,385,2023,2023,3/25/2024,10/9/2023,read,1,,,,
45416596,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,,,4,4.4,Washington Square Press,Kindle Edition,434,2017,2017,4/9/2024,5/18/2022,read,1,,,,
50659466,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,1635575559,9781635575552,3,4.17,Bloomsbury Publishing,Hardcover,419,2020,2015,4/23/2024,5/7/2022,read,1,,,,
25041402,The Sisters,Claire Douglas,"Douglas, Claire",,0007594410,9780007594412,2,3.69,HarperCollins,Paperback,363,2015,2015,4/25/2024,4/2/2024,read,1,,,,
58687126,Finding Me,Viola Davis,"Davis, Viola",,0063037327,9780063037328,5,4.54,HarperOne,Hardcover,304,2022,2022,4/1/2024,4/21/2022,read,1,,,,
46000520,"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,"Osman, Richard",,,,0,3.87,Penguin Books,Kindle Edition,382,2020,2020,3/21/2024,3/17/2024,read,1,,,,
167770288,Counting the Cost,Jill Duggar,"Duggar, Jill","Derick Dillard, Craig Borlase",,,4,4.01,Gallery Books,Kindle Edition,287,2023,2023,3/15/2024,3/12/2024,read,1,,,,
42616411,Educated: A Memoir,Tara Westover,"Westover, Tara",,1984854852,9781984854858,5,4.47,Random House US,Paperback,329,2018,2018,3/12/2024,6/23/2023,read,1,,,,
54508798,"The Guncle (The Guncle, #1)",Steven  Rowley,"Rowley, Steven",,0525542280,9780525542285,5,4.12,G.P. Putnam's Sons,Hardcover,326,2021,2021,3/7/2024,3/2/2024,read,1,,,,
50892288,The Hollow Places,T. Kingfisher,"Kingfisher, T.",,1534451129,9781534451124,4,3.79,Gallery Books,Paperback,341,2020,2020,2/29/2024,2/4/2023,read,1,,,,
50721364,"Hygge: The Danish Way To Simpler, Happier Life. Discover Secrets To Managing A Fast Lifestyle And Introduce Unending Happiness To Your Home With Art Of Hygge.",Alexander Parker,"Parker, Alexander",,,,0,2.88,,Kindle Edition,183,2020,,2/25/2024,2/23/2024,read,1,,,,
29358559,Upstream: Selected Essays,Mary Oliver,"Oliver, Mary",,1594206708,9781594206702,0,4.16,Penguin Press,Hardcover,178,2016,2016,2/22/2024,2/21/2024,read,1,,,,
